LULC_desc,lucode,usle_c,usle_p
ConiferousForest,1,0.001,1
DeciduousForest,2,0.001,1
DeciduousForest,3,0.001,1
DeciduousForest,4,0.001,1
DeciduousForest,5,0.001,1
DeciduousForest,6,0.001,1
Shrubland,7,0.080,1
Shrubland,8,0.080,1
Shrubland,9,0.080,1
InlandMarsh,10,0.060,1
SparseVegetation,11,0.010,1
SparseVegetation,12,0.010,1
Grassland,13,0.080,1
AgriculturalVegetation,14,0.500,0.5
ArtificialSurface,15,0.100,1
BareArea,16,0.350,1
WaterBody,17,0.000,1
ForestPlantation,18,0.080,1
